"Source:","C:\Users\compukidmike\Dropbox\kicad\Saintcon2019TopBoard\Saintcon2019TopBoard.sch"
"Date:","6/2/2019 3:04:15 PM"
"Tool:","Eeschema (5.1.2)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","1119"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7","Field8"
"","","D152","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D153","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D154","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D155","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D156","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D157","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D158","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D159","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D160","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D161","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D162","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D163","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D164","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D165","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D166","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D167","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D168","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D169","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D170","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D171","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D172","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D173","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D174","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D175","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D176","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D177","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D178","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D179","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D180","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D181","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D182","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D183","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D184","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D185","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D186","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D187","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D188","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D189","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D190","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
